Employee ID,Gender,Tenure,Department,Job Role,Absenteeism Records,Health Survey Responses,Wellness Program Participation
63,Female,21,Finance,Analyst,5,7,False
64,Female,4,Marketing,Coordinator,3,9,True
65,Female,7,Finance,Developer,1,9,False
66,Female,26,Finance,Executive,15,3,True
67,Female,12,Sales,Developer,17,1,False
68,Female,31,HR,Manager,2,9,True
69,Female,17,Sales,Coordinator,3,8,True
70,Male,33,Engineering,Coordinator,5,7,True
71,Non-Binary,11,Finance,Analyst,4,6,False
72,Female,28,HR,Manager,0,10,False
73,Female,32,Finance,Executive,9,7,False
74,Female,1,Finance,Analyst,0,9,True
75,Female,28,Sales,Manager,9,6,False
76,Female,7,HR,Analyst,5,10,False
77,Female,2,HR,Developer,15,3,False
78,Non-Binary,24,Finance,Manager,18,3,False
79,Non-Binary,4,HR,Executive,11,4,True
80,Female,19,HR,Executive,0,10,False
81,Non-Binary,26,Sales,Manager,0,10,True
82,Male,11,Marketing,Analyst,2,8,True
83,Female,11,Engineering,Coordinator,0,10,True
84,Male,3,Marketing,Manager,0,9,True
85,Male,12,HR,Executive,3,8,True
86,Female,3,Finance,Developer,4,10,False
87,Non-Binary,27,Engineering,Executive,18,2,False
88,Male,2,Engineering,Coordinator,10,4,True
89,Female,16,Finance,Executive,13,4,False
90,Male,2,Engineering,Coordinator,13,2,True
91,Male,30,Finance,Manager,5,8,True
92,Male,20,Engineering,Executive,9,3,True
93,Male,38,Marketing,Analyst,17,2,True
94,Non-Binary,28,Engineering,Analyst,4,7,False
95,Male,25,Sales,Executive,15,1,True
96,Male,32,Finance,Executive,5,6,False
97,Male,10,Engineering,Developer,14,3,False
98,Non-Binary,33,Finance,Executive,12,3,False
99,Male,13,Sales,Developer,12,5,False
100,Male,37,Engineering,Developer,13,3,True
101,Non-Binary,16,Engineering,Developer,10,4,False
102,Non-Binary,22,Sales,Developer,11,3,True
103,Non-Binary,20,Sales,Manager,4,7,False
104,Male,27,Sales,Analyst,10,3,True
105,Non-Binary,16,Finance,Developer,0,10,True
106,Non-Binary,34,Sales,Analyst,10,4,False
107,Male,32,Finance,Developer,18,2,False
108,Non-Binary,26,Marketing,Analyst,15,2,False
109,Male,25,Engineering,Executive,2,9,True
110,Female,2,Engineering,Executive,19,1,False
111,Non-Binary,12,HR,Analyst,14,1,False
112,Female,9,Marketing,Developer,1,10,False
113,Male,12,Sales,Manager,12,1,True
114,Non-Binary,26,Sales,Analyst,12,3,False
115,Male,9,Marketing,Coordinator,17,2,False
116,Female,10,Sales,Manager,12,3,True
117,Male,32,HR,Coordinator,9,5,False
118,Non-Binary,34,Finance,Analyst,0,9,True
119,Non-Binary,20,Engineering,Developer,15,2,True
120,Female,39,Marketing,Coordinator,16,1,True
121,Male,2,Engineering,Analyst,5,6,True
122,Non-Binary,1,Finance,Manager,10,3,True
123,Female,36,Marketing,Developer,7,7,True
124,Non-Binary,24,Finance,Coordinator,7,6,True
125,Non-Binary,27,Sales,Analyst,2,7,True
126,Male,2,Sales,Developer,6,5,True
127,Non-Binary,31,Sales,Developer,19,1,True
128,Male,14,Finance,Executive,15,3,True
129,Non-Binary,2,Finance,Developer,13,3,True
130,Female,29,Finance,Analyst,4,7,True
131,Non-Binary,15,Engineering,Manager,8,3,True
132,Male,12,Finance,Executive,12,5,False
133,Male,37,Sales,Analyst,10,4,True
134,Female,28,HR,Analyst,10,4,False
135,Non-Binary,20,Finance,Analyst,7,7,False
136,Non-Binary,39,HR,Coordinator,16,1,False
137,Female,24,Sales,Coordinator,2,7,False
138,Non-Binary,21,Finance,Manager,4,8,False
139,Non-Binary,10,Engineering,Analyst,10,3,False
140,Male,14,Engineering,Coordinator,12,3,True
141,Non-Binary,37,HR,Coordinator,12,4,False
142,Non-Binary,18,Engineering,Coordinator,6,6,True
143,Female,24,Engineering,Manager,4,7,True
144,Female,14,Engineering,Manager,20,1,False
145,Male,34,Sales,Analyst,14,4,True
146,Non-Binary,12,Engineering,Executive,2,7,True
147,Non-Binary,22,Marketing,Analyst,14,2,False
148,Non-Binary,6,Finance,Coordinator,15,1,True
149,Male,36,Engineering,Coordinator,17,1,False
150,Male,36,Engineering,Developer,0,10,False
151,Female,22,Engineering,Analyst,11,6,False
152,Male,14,Marketing,Coordinator,9,5,False
153,Non-Binary,16,Engineering,Coordinator,15,1,False
154,Non-Binary,36,Engineering,Executive,0,10,True
155,Male,25,Finance,Developer,14,3,False
156,Non-Binary,32,Marketing,Analyst,5,7,False
157,Non-Binary,33,Marketing,Manager,1,9,True
158,Male,36,Engineering,Analyst,1,9,False
159,Male,20,Marketing,Analyst,9,6,False
160,Non-Binary,18,HR,Executive,13,3,False
161,Non-Binary,38,Marketing,Analyst,15,1,False
162,Non-Binary,3,Marketing,Executive,13,3,False
163,Female,23,Marketing,Executive,4,10,False
164,Female,32,Sales,Coordinator,18,2,False
165,Female,16,Sales,Manager,6,5,True
166,Male,5,Sales,Executive,7,8,False
167,Female,4,Marketing,Developer,9,5,True
168,Male,21,HR,Developer,17,1,False
169,Male,14,Marketing,Manager,13,3,False
170,Female,39,Engineering,Executive,10,5,False
171,Female,31,HR,Manager,7,7,True
172,Female,14,Sales,Coordinator,8,5,True
173,Non-Binary,6,Finance,Developer,0,10,True
174,Female,12,HR,Analyst,12,5,False
175,Non-Binary,16,Sales,Developer,5,7,False
176,Male,17,HR,Executive,3,8,True
177,Non-Binary,23,HR,Manager,3,8,True
178,Female,14,Marketing,Developer,6,7,False
179,Male,7,Engineering,Analyst,14,3,False
180,Male,32,Finance,Analyst,14,2,False
181,Male,15,Sales,Manager,18,1,True
182,Non-Binary,17,HR,Manager,4,6,True
183,Female,34,Finance,Developer,2,9,False
184,Male,5,HR,Executive,14,3,False
185,Male,27,Engineering,Coordinator,8,5,False
186,Male,23,Finance,Analyst,4,9,True
187,Non-Binary,14,Sales,Manager,5,9,False
188,Non-Binary,15,HR,Coordinator,2,7,True
189,Female,33,Engineering,Coordinator,12,4,True
190,Non-Binary,31,Finance,Coordinator,13,2,True
191,Male,35,HR,Executive,14,2,False
192,Female,17,HR,Manager,12,4,False
193,Male,28,Sales,Analyst,18,1,True
194,Male,19,Engineering,Manager,10,4,True
195,Non-Binary,23,Marketing,Developer,7,6,False
196,Female,32,HR,Analyst,9,6,True
197,Non-Binary,13,Finance,Manager,8,7,False
198,Non-Binary,20,Sales,Analyst,8,5,False
199,Female,35,Sales,Developer,2,9,False
200,Male,5,HR,Analyst,12,2,False
201,Male,9,HR,Coordinator,16,2,True
202,Female,29,HR,Executive,14,4,False
203,Male,6,Marketing,Developer,10,4,True
204,Female,25,HR,Analyst,7,4,True
205,Female,31,Engineering,Developer,18,1,True
206,Non-Binary,22,Finance,Coordinator,16,4,False
207,Female,2,HR,Executive,9,5,False
208,Non-Binary,5,Marketing,Developer,0,9,True
209,Male,27,Finance,Coordinator,15,3,False
210,Male,25,Sales,Coordinator,15,3,False
211,Male,8,HR,Coordinator,10,5,False
212,Male,1,Finance,Analyst,3,10,False
213,Non-Binary,20,Sales,Manager,4,6,False
214,Male,23,Marketing,Developer,9,3,True
215,Female,32,Engineering,Manager,17,1,False
216,Female,11,HR,Coordinator,3,10,False
217,Female,39,Engineering,Manager,5,8,True
218,Non-Binary,24,Marketing,Coordinator,15,1,False
219,Male,11,Finance,Coordinator,18,2,True
220,Male,29,Finance,Executive,14,3,True
221,Male,26,Marketing,Executive,5,6,False
222,Non-Binary,16,Marketing,Manager,10,4,True
223,Female,35,HR,Developer,12,4,True
224,Female,20,Sales,Manager,4,9,False
225,Male,3,Engineering,Developer,5,6,True
226,Female,1,Engineering,Manager,17,2,False
227,Female,1,Finance,Analyst,3,7,True
228,Non-Binary,17,Finance,Analyst,13,3,False
229,Non-Binary,2,HR,Developer,1,9,True
230,Non-Binary,29,Marketing,Executive,10,6,False
231,Non-Binary,20,Engineering,Developer,1,8,False
232,Male,6,HR,Manager,16,1,True
233,Non-Binary,8,Finance,Coordinator,13,2,True
234,Female,29,Finance,Analyst,5,6,False
235,Male,33,Engineering,Coordinator,10,3,True
236,Female,3,Finance,Analyst,17,1,True
237,Female,35,Finance,Manager,4,6,True
238,Female,5,Sales,Analyst,7,5,False
239,Non-Binary,27,Marketing,Developer,1,9,False
240,Non-Binary,12,Finance,Coordinator,6,6,False
241,Male,20,Sales,Coordinator,9,5,True
242,Male,20,HR,Manager,16,1,True
243,Non-Binary,9,Finance,Coordinator,13,1,True
244,Female,39,HR,Manager,20,1,False
245,Male,4,Finance,Executive,1,7,False
246,Non-Binary,19,Engineering,Developer,9,6,False
247,Non-Binary,38,Sales,Analyst,10,5,False
248,Non-Binary,27,Sales,Analyst,9,4,True
249,Female,13,Engineering,Analyst,1,8,True
250,Non-Binary,13,Marketing,Executive,5,8,True
251,Non-Binary,22,Sales,Developer,14,5,False
252,Non-Binary,28,HR,Coordinator,9,4,True
253,Non-Binary,22,Sales,Coordinator,14,2,True
254,Male,19,Marketing,Developer,8,7,False
255,Male,8,HR,Developer,9,5,False
256,Non-Binary,8,HR,Analyst,14,3,True
257,Female,26,Engineering,Coordinator,3,9,False
258,Male,26,Finance,Developer,0,9,True
259,Non-Binary,23,Engineering,Coordinator,0,10,True
260,Male,13,Finance,Developer,4,8,False
261,Male,28,Engineering,Manager,15,1,False
262,Female,9,Finance,Analyst,10,3,True
263,Non-Binary,20,Sales,Developer,16,2,False
264,Non-Binary,19,HR,Executive,11,4,False
265,Female,39,Finance,Developer,18,2,True
266,Female,12,Sales,Manager,3,8,True
267,Non-Binary,15,Marketing,Executive,13,1,True
268,Non-Binary,31,Engineering,Executive,6,4,False
269,Female,14,Marketing,Developer,11,5,False
270,Male,11,Sales,Manager,0,10,False
271,Male,26,Marketing,Executive,12,4,True
272,Female,27,Marketing,Analyst,2,8,False
273,Male,11,Sales,Analyst,13,2,True
274,Female,38,HR,Coordinator,2,9,False
275,Male,34,Finance,Coordinator,14,2,True
276,Male,19,Engineering,Manager,15,2,False
277,Non-Binary,6,Finance,Executive,15,2,True
278,Non-Binary,38,Engineering,Analyst,0,10,True
279,Male,28,Finance,Analyst,4,8,True
280,Male,1,Marketing,Manager,16,3,True
281,Non-Binary,35,HR,Executive,3,10,False
282,Non-Binary,8,Marketing,Manager,0,10,False
283,Non-Binary,7,HR,Developer,3,8,False
284,Female,11,Sales,Analyst,6,7,False
285,Male,39,Engineering,Manager,2,10,False
286,Non-Binary,4,Engineering,Manager,11,4,True
287,Male,25,Sales,Developer,8,7,False
288,Female,12,Finance,Coordinator,2,8,False
289,Female,26,Sales,Analyst,6,6,True
290,Non-Binary,38,Sales,Manager,8,6,False
291,Female,12,HR,Analyst,16,3,False
292,Male,37,Sales,Coordinator,11,5,False
293,Non-Binary,24,Engineering,Manager,0,10,True
294,Male,16,Marketing,Developer,16,2,True
295,Male,13,HR,Analyst,7,5,False
296,Female,25,HR,Developer,7,5,True
297,Female,4,Finance,Coordinator,3,7,False
298,Female,11,Marketing,Coordinator,9,4,True
299,Female,32,HR,Analyst,5,6,True
300,Female,7,Sales,Coordinator,0,9,False
301,Non-Binary,11,HR,Executive,10,4,True
302,Male,28,HR,Analyst,6,6,False
303,Male,23,HR,Executive,0,9,True
304,Male,23,Finance,Coordinator,0,10,False
305,Male,28,HR,Analyst,15,1,True
306,Female,26,HR,Executive,4,8,False
307,Male,25,Finance,Coordinator,16,1,False
308,Non-Binary,29,Marketing,Manager,11,4,False
309,Non-Binary,19,Engineering,Manager,18,3,False
310,Male,33,Finance,Developer,12,4,True
311,Male,36,Finance,Manager,4,7,False
312,Non-Binary,14,HR,Executive,2,9,True
313,Non-Binary,14,HR,Manager,4,9,True
314,Female,35,Engineering,Analyst,1,10,False
315,Non-Binary,30,HR,Analyst,16,1,False
316,Female,28,Sales,Analyst,2,10,False
317,Female,17,HR,Manager,16,1,False
318,Female,3,HR,Manager,2,9,True
319,Female,16,Sales,Developer,11,4,False
320,Female,30,Engineering,Coordinator,13,3,False
321,Male,29,Sales,Developer,3,9,False
322,Non-Binary,15,Finance,Executive,12,5,False
323,Female,25,Sales,Analyst,10,6,True
324,Non-Binary,38,Marketing,Manager,17,1,True
325,Non-Binary,38,Finance,Coordinator,16,1,True
326,Female,23,HR,Coordinator,4,7,False
327,Male,25,Finance,Manager,0,10,True
328,Female,7,Engineering,Developer,1,8,False
329,Male,22,Engineering,Coordinator,3,8,True
330,Non-Binary,17,Sales,Developer,8,7,False
331,Male,18,Finance,Manager,0,9,True
332,Male,10,HR,Developer,19,1,False
333,Male,10,Engineering,Analyst,14,2,False
334,Non-Binary,7,HR,Manager,10,3,True
335,Non-Binary,38,Marketing,Manager,7,5,False
336,Male,27,Engineering,Coordinator,13,4,True
337,Male,33,Sales,Coordinator,13,4,True
338,Female,1,Marketing,Coordinator,0,8,True
339,Male,34,Finance,Analyst,2,8,False
340,Female,4,HR,Analyst,5,7,True
341,Male,17,Engineering,Executive,20,1,False
342,Female,4,Marketing,Manager,3,10,False
343,Non-Binary,26,Marketing,Coordinator,9,4,True
344,Male,4,Engineering,Manager,16,1,True
345,Male,1,Finance,Developer,7,5,False
346,Male,7,Finance,Analyst,13,3,False
347,Male,30,Sales,Executive,13,3,True
348,Female,9,Finance,Developer,9,4,False
349,Male,35,Sales,Manager,14,2,False
350,Non-Binary,8,Marketing,Analyst,6,7,False
351,Non-Binary,24,Engineering,Coordinator,7,4,True
352,Male,19,Finance,Developer,9,5,True
353,Non-Binary,36,Sales,Analyst,17,2,True
354,Male,27,Marketing,Manager,9,6,False
355,Male,32,Finance,Manager,0,9,True
356,Non-Binary,14,HR,Developer,4,8,True
357,Male,18,Marketing,Developer,6,8,False
358,Non-Binary,28,Finance,Developer,15,2,True
359,Female,29,Marketing,Executive,10,4,True
360,Male,16,Engineering,Coordinator,0,8,True
361,Female,35,Engineering,Analyst,17,1,False
362,Non-Binary,31,Engineering,Manager,6,8,False
363,Female,4,HR,Manager,16,3,True
364,Female,37,Engineering,Coordinator,3,8,False
365,Non-Binary,17,HR,Developer,5,6,True
366,Female,39,Engineering,Developer,2,7,True
367,Female,26,Marketing,Manager,14,2,True
368,Non-Binary,39,Finance,Coordinator,14,1,True
369,Female,4,Finance,Manager,8,6,False
370,Non-Binary,30,Engineering,Developer,10,3,True
371,Female,30,Finance,Analyst,10,4,False
372,Non-Binary,22,Engineering,Developer,1,9,False
373,Non-Binary,11,Engineering,Analyst,9,3,True
374,Female,2,Sales,Executive,13,2,True
375,Female,12,Sales,Coordinator,12,2,True
376,Female,30,Sales,Executive,17,2,True
377,Male,36,HR,Developer,10,6,False
378,Male,18,Sales,Coordinator,14,2,False
379,Male,26,Engineering,Developer,11,7,False
380,Non-Binary,7,Marketing,Coordinator,4,7,False
381,Female,1,Sales,Coordinator,3,7,True
382,Non-Binary,26,Sales,Developer,15,2,True
383,Male,23,Marketing,Developer,7,7,False
384,Female,26,Engineering,Coordinator,0,10,False
385,Non-Binary,6,HR,Coordinator,6,8,False
386,Female,6,Sales,Developer,4,8,True
387,Non-Binary,8,Marketing,Developer,14,2,True
388,Female,24,Engineering,Manager,9,5,False
389,Male,22,Finance,Manager,4,6,True
390,Male,19,HR,Manager,0,9,False
391,Female,37,Marketing,Executive,6,6,False
392,Non-Binary,18,Marketing,Coordinator,0,10,True
393,Male,31,Marketing,Analyst,7,6,True
394,Male,37,Sales,Executive,0,10,False
395,Male,30,Finance,Coordinator,0,10,True
396,Female,33,HR,Analyst,4,6,True
397,Female,10,Engineering,Manager,0,9,True
398,Non-Binary,37,Engineering,Analyst,0,10,True
399,Non-Binary,12,Finance,Developer,3,7,True
400,Non-Binary,30,Marketing,Developer,15,1,True
401,Female,27,Marketing,Coordinator,16,1,False
402,Female,39,Marketing,Executive,12,4,False
403,Non-Binary,9,Marketing,Manager,17,2,False
404,Non-Binary,21,Marketing,Coordinator,12,3,False
405,Female,12,Finance,Manager,0,7,True
406,Non-Binary,29,Sales,Developer,3,7,False
407,Male,33,HR,Executive,15,3,True
408,Female,15,Marketing,Executive,17,2,False
409,Non-Binary,2,Sales,Developer,19,1,False
410,Female,39,Engineering,Analyst,2,9,True
411,Male,18,Finance,Executive,0,10,True
412,Female,3,Sales,Analyst,13,3,False
413,Female,7,Marketing,Manager,0,9,True
414,Female,18,Marketing,Executive,9,4,True
415,Female,38,Marketing,Developer,0,10,True
416,Male,37,Sales,Analyst,10,6,True
417,Female,33,Marketing,Manager,4,7,False
418,Female,31,Sales,Manager,0,10,True
419,Non-Binary,11,Marketing,Executive,7,6,False
420,Female,4,Engineering,Executive,17,1,False
421,Non-Binary,18,Engineering,Coordinator,8,6,False
422,Male,4,HR,Coordinator,9,6,False
423,Male,34,Marketing,Executive,9,5,False
424,Male,29,Marketing,Coordinator,18,3,False
425,Male,24,Sales,Developer,2,10,False
426,Non-Binary,22,Sales,Developer,11,3,True
427,Female,2,Marketing,Coordinator,0,10,False
428,Male,6,HR,Executive,5,7,True
429,Female,25,Marketing,Developer,1,8,True
430,Non-Binary,21,Sales,Manager,9,3,False
431,Non-Binary,16,Marketing,Executive,17,3,False
432,Non-Binary,31,Sales,Analyst,3,7,False
433,Male,14,Marketing,Analyst,0,10,True
434,Female,39,Finance,Executive,6,7,True
435,Female,28,Sales,Coordinator,0,9,True
436,Female,32,HR,Developer,11,6,False
437,Non-Binary,28,Finance,Developer,4,7,True
438,Male,9,Marketing,Executive,0,10,False
439,Non-Binary,22,Sales,Manager,12,1,True
440,Non-Binary,32,Finance,Coordinator,1,7,False
441,Female,5,HR,Manager,15,2,False
442,Non-Binary,23,Sales,Executive,8,7,False
443,Female,5,Finance,Executive,8,3,True
444,Male,32,Finance,Manager,0,9,True
445,Female,10,Finance,Analyst,8,5,True
446,Male,39,Engineering,Executive,6,7,True
447,Female,15,Marketing,Coordinator,4,8,True
448,Non-Binary,7,Sales,Manager,16,2,False
449,Non-Binary,29,Sales,Analyst,17,1,False
450,Male,3,Sales,Manager,4,7,False
451,Male,19,Finance,Analyst,5,6,False
452,Male,10,Marketing,Analyst,4,6,True
453,Female,28,HR,Coordinator,12,2,True
454,Female,29,Sales,Executive,13,3,False
455,Male,15,Marketing,Analyst,11,4,False
456,Non-Binary,35,Marketing,Executive,12,3,True
457,Female,6,Engineering,Coordinator,14,2,True
458,Female,12,Sales,Executive,13,3,False
459,Female,38,Finance,Developer,9,6,False
460,Male,13,Marketing,Analyst,1,9,True
461,Male,29,Marketing,Coordinator,9,4,True
462,Male,19,HR,Manager,4,6,True
463,Male,3,Engineering,Coordinator,17,1,False
464,Male,8,Marketing,Analyst,10,6,False
465,Non-Binary,8,Marketing,Coordinator,13,3,True
466,Non-Binary,20,Finance,Manager,3,9,False
467,Male,4,Finance,Developer,13,4,False
468,Female,21,HR,Analyst,6,7,True
469,Male,3,HR,Analyst,13,4,False
470,Non-Binary,8,HR,Coordinator,8,6,False
471,Non-Binary,23,Finance,Executive,5,7,False
472,Female,16,Finance,Executive,16,2,True
473,Non-Binary,13,Engineering,Manager,0,10,True
474,Male,3,Sales,Developer,10,6,False
475,Female,9,Sales,Developer,5,8,False
476,Male,14,Engineering,Coordinator,11,6,False
477,Male,13,Sales,Coordinator,13,2,False
478,Female,7,Finance,Executive,12,4,True
479,Male,15,Sales,Developer,19,1,False
480,Non-Binary,7,Finance,Developer,4,7,False
481,Male,38,Engineering,Developer,3,8,False
482,Female,34,HR,Manager,0,10,False
483,Female,22,Engineering,Manager,13,2,True
484,Female,24,Sales,Coordinator,0,10,False
485,Male,37,Finance,Executive,11,5,True
486,Female,1,Sales,Analyst,0,8,True
487,Female,10,Sales,Executive,1,8,False
488,Male,16,HR,Manager,11,5,True
489,Non-Binary,8,Sales,Manager,0,8,True
490,Male,25,HR,Coordinator,5,6,True
491,Female,12,Finance,Analyst,8,5,False
492,Female,25,Finance,Developer,13,4,True
493,Male,17,HR,Analyst,11,5,True
494,Non-Binary,26,Engineering,Analyst,10,4,False
495,Female,14,Finance,Analyst,14,1,True
496,Female,36,Engineering,Coordinator,15,3,False
497,Female,23,Finance,Manager,4,8,False
498,Male,6,Finance,Developer,5,7,False
499,Female,5,Marketing,Analyst,5,7,False
500,Non-Binary,25,Sales,Developer,13,3,False
501,Female,18,Sales,Analyst,2,9,True
502,Female,13,Engineering,Manager,11,6,False
503,Non-Binary,14,Sales,Developer,5,8,True
504,Female,28,Engineering,Executive,0,8,True
505,Male,18,Finance,Manager,14,3,False
506,Male,28,Marketing,Developer,13,4,True
507,Male,27,Marketing,Analyst,5,6,True
508,Non-Binary,32,Finance,Analyst,14,2,False
509,Female,9,HR,Manager,7,7,False
510,Male,32,HR,Manager,15,2,False
511,Non-Binary,20,Sales,Analyst,5,5,True
512,Female,28,Engineering,Developer,8,4,True
513,Non-Binary,33,Marketing,Executive,2,9,True
514,Male,4,Sales,Coordinator,15,2,True
515,Male,34,Finance,Manager,2,7,False
516,Male,3,Marketing,Analyst,2,7,True
517,Non-Binary,26,Engineering,Developer,7,7,True
518,Non-Binary,8,Engineering,Manager,17,1,False
519,Male,6,HR,Developer,2,8,True
520,Non-Binary,16,Sales,Manager,16,2,False
521,Male,24,Finance,Analyst,9,5,True
522,Male,39,Marketing,Developer,15,2,False
523,Female,30,Engineering,Analyst,11,5,True
524,Non-Binary,13,Marketing,Developer,5,7,False
525,Male,5,Finance,Manager,7,6,True
526,Male,25,Marketing,Coordinator,11,5,True
527,Non-Binary,20,Sales,Coordinator,12,4,False
528,Female,18,HR,Executive,1,8,False
529,Female,18,Marketing,Executive,4,8,False
530,Male,2,HR,Analyst,15,1,True
531,Non-Binary,10,Finance,Developer,1,10,False
532,Female,12,HR,Executive,16,2,False
533,Non-Binary,13,Marketing,Manager,12,3,True
534,Non-Binary,11,Marketing,Coordinator,15,1,False
535,Male,19,Engineering,Developer,10,3,False
536,Female,35,Marketing,Coordinator,0,10,False
537,Male,39,HR,Developer,3,8,True
538,Female,26,Engineering,Executive,12,4,True
539,Female,14,Marketing,Executive,4,7,True
540,Female,24,Marketing,Analyst,4,7,False
541,Female,1,Finance,Developer,9,5,True
542,Female,22,Engineering,Manager,18,1,True
543,Non-Binary,23,Finance,Executive,0,10,True
544,Male,19,Finance,Analyst,12,4,False
545,Non-Binary,18,Finance,Executive,8,7,True
546,Female,12,Sales,Coordinator,11,5,True
547,Male,28,Finance,Executive,12,2,True
548,Female,28,HR,Developer,0,8,True
549,Male,33,Marketing,Analyst,13,2,False
550,Non-Binary,19,Sales,Developer,4,8,True
551,Male,28,Finance,Manager,10,2,True
552,Male,37,Marketing,Manager,9,5,True
553,Male,26,Engineering,Executive,11,4,False
554,Male,35,Engineering,Analyst,15,1,False
555,Male,34,Marketing,Analyst,3,8,True
556,Female,35,HR,Analyst,0,10,False
557,Male,16,Marketing,Analyst,14,3,True
558,Male,38,Marketing,Executive,8,4,False
559,Non-Binary,13,Sales,Developer,10,4,False
560,Male,23,Engineering,Executive,6,5,True
561,Non-Binary,22,Engineering,Developer,15,3,False
562,Female,16,Finance,Coordinator,1,9,False
563,Male,28,Marketing,Coordinator,12,4,True
564,Non-Binary,35,Marketing,Developer,0,10,True
565,Non-Binary,8,HR,Executive,12,4,False
566,Female,22,Engineering,Manager,10,6,False
567,Male,21,HR,Executive,0,8,False
568,Male,26,Sales,Manager,6,7,False
569,Non-Binary,21,Finance,Executive,9,4,True
570,Male,25,HR,Analyst,10,4,False
571,Non-Binary,1,Engineering,Analyst,8,5,True
572,Male,6,Sales,Coordinator,0,10,True
573,Non-Binary,23,Marketing,Coordinator,7,5,True
574,Male,23,Sales,Developer,18,1,False
575,Female,23,HR,Manager,1,8,False
576,Male,32,Engineering,Analyst,0,10,True
577,Male,30,HR,Executive,10,5,True
578,Female,13,Marketing,Developer,13,3,True
579,Male,18,Marketing,Executive,15,3,True
580,Female,23,Engineering,Analyst,9,4,True
581,Male,15,Finance,Analyst,5,7,False
582,Non-Binary,33,Sales,Analyst,11,5,False
583,Non-Binary,21,Sales,Analyst,20,1,False
584,Male,39,Marketing,Executive,10,5,False
585,Male,23,HR,Developer,11,5,True
586,Male,27,HR,Analyst,8,6,True
587,Non-Binary,18,Finance,Coordinator,4,7,False
588,Male,24,HR,Developer,8,5,True
589,Non-Binary,7,Sales,Coordinator,14,2,True
590,Female,20,HR,Executive,10,2,True
591,Non-Binary,27,Finance,Analyst,10,4,False
592,Non-Binary,6,Sales,Developer,20,1,False
593,Female,27,HR,Analyst,8,7,False
594,Non-Binary,9,Sales,Analyst,18,1,False
595,Male,31,Marketing,Developer,14,3,False
596,Male,21,Marketing,Analyst,0,10,False
597,Non-Binary,26,Marketing,Analyst,3,7,True
598,Male,13,HR,Manager,9,6,False
599,Non-Binary,23,Finance,Manager,4,7,True
600,Male,20,Sales,Developer,13,5,False
601,Male,37,Engineering,Developer,4,8,False
