Employee ID,Hours Worked,Sick Leave Taken,Project Deadlines Met,Performance Scores
466,34,3,0.91,4.7
467,40,13,0.61,3.7
468,40,6,0.82,4.4
469,33,13,0.61,3.7
470,45,8,0.76,4.2
471,40,5,0.85,4.5
472,30,16,0.52,3.4
473,42,0,1.0,5.0
474,48,10,0.7,4.0
475,35,5,0.85,4.5
476,49,11,0.67,3.9
477,48,13,0.61,3.7
478,35,12,0.64,3.8
479,42,19,0.5,3.0999999999999996
480,40,4,0.88,4.6
481,48,3,0.91,4.7
482,36,0,1.0,5.0
483,41,13,0.61,3.7
484,45,0,1.0,5.0
485,30,11,0.67,3.9
486,44,0,1.0,5.0
487,42,1,0.97,4.9
488,39,11,0.67,3.9
489,47,0,1.0,5.0
490,33,5,0.85,4.5
491,35,8,0.76,4.2
492,37,13,0.61,3.7
493,49,11,0.67,3.9
494,38,10,0.7,4.0
495,37,14,0.58,3.5999999999999996
496,47,15,0.55,3.5
497,36,4,0.88,4.6
498,48,5,0.85,4.5
499,47,5,0.85,4.5
500,30,13,0.61,3.7
501,40,2,0.94,4.8
502,38,11,0.67,3.9
503,39,5,0.85,4.5
504,39,0,1.0,5.0
505,30,14,0.58,3.5999999999999996
506,46,13,0.61,3.7
507,41,5,0.85,4.5
508,41,14,0.58,3.5999999999999996
509,48,7,0.79,4.3
510,46,15,0.55,3.5
511,36,5,0.85,4.5
512,40,8,0.76,4.2
513,31,2,0.94,4.8
514,45,15,0.55,3.5
515,38,2,0.94,4.8
516,39,2,0.94,4.8
517,39,7,0.79,4.3
518,32,17,0.5,3.3
519,46,2,0.94,4.8
520,43,16,0.52,3.4
521,48,9,0.73,4.1
522,47,15,0.55,3.5
523,47,11,0.67,3.9
524,43,5,0.85,4.5
525,32,7,0.79,4.3
526,39,11,0.67,3.9
527,42,12,0.64,3.8
528,41,1,0.97,4.9
529,38,4,0.88,4.6
530,39,15,0.55,3.5
531,48,1,0.97,4.9
532,45,16,0.52,3.4
533,32,12,0.64,3.8
534,41,15,0.55,3.5
535,37,10,0.7,4.0
536,44,0,1.0,5.0
537,40,3,0.91,4.7
538,42,12,0.64,3.8
539,35,4,0.88,4.6
540,42,4,0.88,4.6
541,40,9,0.73,4.1
542,35,18,0.5,3.2
543,35,0,1.0,5.0
544,34,12,0.64,3.8
545,36,8,0.76,4.2
546,48,11,0.67,3.9
547,40,12,0.64,3.8
548,35,0,1.0,5.0
549,38,13,0.61,3.7
550,49,4,0.88,4.6
551,47,10,0.7,4.0
552,37,9,0.73,4.1
553,47,11,0.67,3.9
554,34,15,0.55,3.5
555,35,3,0.91,4.7
556,31,0,1.0,5.0
557,33,14,0.58,3.5999999999999996
558,48,8,0.76,4.2
559,33,10,0.7,4.0
560,45,6,0.82,4.4
561,30,15,0.55,3.5
562,45,1,0.97,4.9
563,30,12,0.64,3.8
564,46,0,1.0,5.0
565,34,12,0.64,3.8
566,45,10,0.7,4.0
567,32,0,1.0,5.0
568,39,6,0.82,4.4
569,47,9,0.73,4.1
570,47,10,0.7,4.0
571,46,8,0.76,4.2
572,40,0,1.0,5.0
573,38,7,0.79,4.3
574,40,18,0.5,3.2
575,38,1,0.97,4.9
576,46,0,1.0,5.0
577,49,10,0.7,4.0
578,34,13,0.61,3.7
579,41,15,0.55,3.5
580,47,9,0.73,4.1
581,45,5,0.85,4.5
582,38,11,0.67,3.9
583,37,20,0.5,3.0
584,35,10,0.7,4.0
585,46,11,0.67,3.9
586,43,8,0.76,4.2
587,43,4,0.88,4.6
588,33,8,0.76,4.2
589,37,14,0.58,3.5999999999999996
590,46,10,0.7,4.0
591,30,10,0.7,4.0
592,32,20,0.5,3.0
593,46,8,0.76,4.2
594,49,18,0.5,3.2
595,32,14,0.58,3.5999999999999996
596,36,0,1.0,5.0
597,40,3,0.91,4.7
598,44,9,0.73,4.1
599,36,4,0.88,4.6
600,34,13,0.61,3.7
601,46,4,0.88,4.6
602,34,6,0.82,4.4
603,30,9,0.73,4.1
604,36,12,0.64,3.8
605,46,16,0.52,3.4
606,37,6,0.82,4.4
607,41,13,0.61,3.7
608,31,11,0.67,3.9
609,46,4,0.88,4.6
610,49,6,0.82,4.4
611,43,16,0.52,3.4
612,32,1,0.97,4.9
613,48,18,0.5,3.2
614,43,3,0.91,4.7
615,37,6,0.82,4.4
616,36,0,1.0,5.0
617,34,18,0.5,3.2
618,32,12,0.64,3.8
619,30,14,0.58,3.5999999999999996
620,48,0,1.0,5.0
621,44,15,0.55,3.5
622,30,0,1.0,5.0
623,34,9,0.73,4.1
624,49,10,0.7,4.0
625,40,5,0.85,4.5
626,43,14,0.58,3.5999999999999996
627,47,9,0.73,4.1
628,49,5,0.85,4.5
629,38,14,0.58,3.5999999999999996
630,44,13,0.61,3.7
631,40,19,0.5,3.0999999999999996
632,34,15,0.55,3.5
633,44,2,0.94,4.8
634,31,0,1.0,5.0
635,41,6,0.82,4.4
636,36,8,0.76,4.2
637,31,10,0.7,4.0
638,37,4,0.88,4.6
639,38,11,0.67,3.9
640,34,8,0.76,4.2
641,44,17,0.5,3.3
642,48,9,0.73,4.1
643,48,0,1.0,5.0
644,42,9,0.73,4.1
645,42,9,0.73,4.1
646,35,15,0.55,3.5
647,30,14,0.58,3.5999999999999996
648,39,9,0.73,4.1
649,35,3,0.91,4.7
650,32,11,0.67,3.9
651,42,2,0.94,4.8
652,48,1,0.97,4.9
653,39,11,0.67,3.9
654,42,14,0.58,3.5999999999999996
655,36,9,0.73,4.1
656,44,15,0.55,3.5
657,33,0,1.0,5.0
658,40,8,0.76,4.2
659,37,3,0.91,4.7
660,31,6,0.82,4.4
661,30,2,0.94,4.8
662,30,9,0.73,4.1
663,45,8,0.76,4.2
664,47,13,0.61,3.7
665,40,13,0.61,3.7
666,37,17,0.5,3.3
667,48,17,0.5,3.3
668,41,16,0.52,3.4
669,35,3,0.91,4.7
670,45,3,0.91,4.7
671,37,15,0.55,3.5
672,36,12,0.64,3.8
673,49,0,1.0,5.0
674,32,5,0.85,4.5
675,30,2,0.94,4.8
676,35,13,0.61,3.7
677,32,6,0.82,4.4
678,48,13,0.61,3.7
679,31,3,0.91,4.7
680,46,16,0.52,3.4
681,45,6,0.82,4.4
682,36,6,0.82,4.4
683,35,0,1.0,5.0
684,40,14,0.58,3.5999999999999996
685,44,10,0.7,4.0
686,40,0,1.0,5.0
687,36,4,0.88,4.6
688,44,6,0.82,4.4
689,45,11,0.67,3.9
690,37,20,0.5,3.0
691,34,16,0.52,3.4
692,46,10,0.7,4.0
693,31,14,0.58,3.5999999999999996
694,36,3,0.91,4.7
695,35,16,0.52,3.4
696,41,11,0.67,3.9
697,45,1,0.97,4.9
698,40,8,0.76,4.2
699,46,10,0.7,4.0
700,39,0,1.0,5.0
701,45,16,0.52,3.4
702,45,1,0.97,4.9
703,44,16,0.52,3.4
704,44,15,0.55,3.5
705,49,2,0.94,4.8
706,33,3,0.91,4.7
707,32,8,0.76,4.2
708,43,17,0.5,3.3
709,39,19,0.5,3.0999999999999996
710,35,6,0.82,4.4
711,40,6,0.82,4.4
712,33,14,0.58,3.5999999999999996
713,39,3,0.91,4.7
714,45,7,0.79,4.3
715,37,12,0.64,3.8
716,38,14,0.58,3.5999999999999996
717,33,3,0.91,4.7
718,46,1,0.97,4.9
719,39,19,0.5,3.0999999999999996
720,42,17,0.5,3.3
721,46,14,0.58,3.5999999999999996
722,48,13,0.61,3.7
723,46,0,1.0,5.0
724,33,4,0.88,4.6
725,35,4,0.88,4.6
726,43,6,0.82,4.4
727,38,11,0.67,3.9
728,35,12,0.64,3.8
729,39,4,0.88,4.6
730,35,7,0.79,4.3
731,38,0,1.0,5.0
732,42,15,0.55,3.5
733,45,9,0.73,4.1
734,45,17,0.5,3.3
735,48,6,0.82,4.4
736,34,12,0.64,3.8
737,40,5,0.85,4.5
738,44,6,0.82,4.4
739,37,16,0.52,3.4
740,44,9,0.73,4.1
741,40,9,0.73,4.1
742,42,2,0.94,4.8
743,31,17,0.5,3.3
744,31,6,0.82,4.4
745,41,15,0.55,3.5
746,49,9,0.73,4.1
747,38,5,0.85,4.5
748,49,15,0.55,3.5
749,44,0,1.0,5.0
750,36,6,0.82,4.4
751,43,8,0.76,4.2
752,46,8,0.76,4.2
753,31,2,0.94,4.8
754,38,12,0.64,3.8
755,42,15,0.55,3.5
756,34,10,0.7,4.0
757,33,14,0.58,3.5999999999999996
758,30,13,0.61,3.7
759,38,9,0.73,4.1
760,45,7,0.79,4.3
761,48,11,0.67,3.9
762,32,6,0.82,4.4
763,32,5,0.85,4.5
764,36,8,0.76,4.2
765,47,9,0.73,4.1
766,49,9,0.73,4.1
767,36,4,0.88,4.6
768,45,13,0.61,3.7
769,33,8,0.76,4.2
770,42,6,0.82,4.4
771,39,5,0.85,4.5
772,31,0,1.0,5.0
773,48,13,0.61,3.7
774,43,9,0.73,4.1
775,35,0,1.0,5.0
776,42,2,0.94,4.8
777,41,6,0.82,4.4
778,41,0,1.0,5.0
779,41,13,0.61,3.7
780,40,1,0.97,4.9
781,43,0,1.0,5.0
782,33,0,1.0,5.0
783,42,6,0.82,4.4
784,37,1,0.97,4.9
785,32,9,0.73,4.1
786,43,11,0.67,3.9
787,48,16,0.52,3.4
788,47,14,0.58,3.5999999999999996
789,40,18,0.5,3.2
790,42,9,0.73,4.1
791,35,15,0.55,3.5
792,47,10,0.7,4.0
793,49,19,0.5,3.0999999999999996
794,30,0,1.0,5.0
795,31,16,0.52,3.4
796,36,10,0.7,4.0
797,34,9,0.73,4.1
798,48,3,0.91,4.7
799,31,4,0.88,4.6
800,32,8,0.76,4.2
801,49,12,0.64,3.8
802,39,13,0.61,3.7
803,39,14,0.58,3.5999999999999996
804,37,17,0.5,3.3
805,38,6,0.82,4.4
806,31,0,1.0,5.0
807,32,6,0.82,4.4
808,45,2,0.94,4.8
809,33,1,0.97,4.9
810,35,8,0.76,4.2
811,42,11,0.67,3.9
812,35,10,0.7,4.0
813,39,2,0.94,4.8
814,46,0,1.0,5.0
815,37,0,1.0,5.0
816,38,9,0.73,4.1
817,31,16,0.52,3.4
818,46,0,1.0,5.0
819,49,7,0.79,4.3
820,40,2,0.94,4.8
821,47,2,0.94,4.8
822,32,10,0.7,4.0
823,38,20,0.5,3.0
824,37,1,0.97,4.9
825,36,13,0.61,3.7
826,36,3,0.91,4.7
827,37,16,0.52,3.4
828,49,1,0.97,4.9
829,34,1,0.97,4.9
830,32,4,0.88,4.6
831,48,9,0.73,4.1
832,31,0,1.0,5.0
833,43,13,0.61,3.7
834,31,18,0.5,3.2
835,39,4,0.88,4.6
836,49,11,0.67,3.9
837,39,0,1.0,5.0
838,46,16,0.52,3.4
839,31,11,0.67,3.9
840,30,11,0.67,3.9
841,47,7,0.79,4.3
842,33,5,0.85,4.5
843,30,14,0.58,3.5999999999999996
844,46,7,0.79,4.3
845,32,4,0.88,4.6
846,31,4,0.88,4.6
847,47,3,0.91,4.7
848,33,11,0.67,3.9
849,32,8,0.76,4.2
850,41,18,0.5,3.2
851,45,15,0.55,3.5
852,40,11,0.67,3.9
853,39,7,0.79,4.3
854,48,6,0.82,4.4
855,39,17,0.5,3.3
856,32,2,0.94,4.8
857,35,18,0.5,3.2
858,43,0,1.0,5.0
859,41,10,0.7,4.0
860,37,7,0.79,4.3
861,31,9,0.73,4.1
862,38,2,0.94,4.8
863,43,18,0.5,3.2
864,30,2,0.94,4.8
865,32,7,0.79,4.3
866,49,7,0.79,4.3
867,35,18,0.5,3.2
868,49,0,1.0,5.0
869,42,0,1.0,5.0
870,40,17,0.5,3.3
871,44,12,0.64,3.8
872,47,3,0.91,4.7
873,48,18,0.5,3.2
874,48,7,0.79,4.3
875,35,15,0.55,3.5
876,44,8,0.76,4.2
877,43,4,0.88,4.6
878,34,2,0.94,4.8
879,40,7,0.79,4.3
880,49,10,0.7,4.0
881,42,1,0.97,4.9
882,42,7,0.79,4.3
883,33,11,0.67,3.9
884,38,14,0.58,3.5999999999999996
885,42,0,1.0,5.0
886,37,2,0.94,4.8
887,49,10,0.7,4.0
888,40,10,0.7,4.0
889,48,18,0.5,3.2
890,30,1,0.97,4.9
891,38,0,1.0,5.0
892,31,1,0.97,4.9
893,33,10,0.7,4.0
894,33,0,1.0,5.0
895,30,9,0.73,4.1
896,47,0,1.0,5.0
897,43,0,1.0,5.0
898,42,0,1.0,5.0
899,37,8,0.76,4.2
900,35,0,1.0,5.0
901,46,12,0.64,3.8
902,40,15,0.55,3.5
903,44,5,0.85,4.5
904,36,18,0.5,3.2
905,37,5,0.85,4.5
906,40,13,0.61,3.7
907,31,0,1.0,5.0
908,49,6,0.82,4.4
909,40,0,1.0,5.0
910,43,13,0.61,3.7
911,42,2,0.94,4.8
912,37,2,0.94,4.8
913,41,2,0.94,4.8
914,38,5,0.85,4.5
915,39,10,0.7,4.0
916,40,7,0.79,4.3
917,40,17,0.5,3.3
918,45,5,0.85,4.5
919,47,8,0.76,4.2
920,38,13,0.61,3.7
921,32,16,0.52,3.4
922,33,2,0.94,4.8
923,49,0,1.0,5.0
924,48,14,0.58,3.5999999999999996
925,39,12,0.64,3.8
926,42,13,0.61,3.7
927,30,2,0.94,4.8
928,41,1,0.97,4.9
929,40,4,0.88,4.6
930,34,8,0.76,4.2
931,31,0,1.0,5.0
932,46,15,0.55,3.5
933,46,4,0.88,4.6
934,49,13,0.61,3.7
935,44,1,0.97,4.9
936,33,8,0.76,4.2
937,40,12,0.64,3.8
938,30,18,0.5,3.2
939,39,10,0.7,4.0
940,47,3,0.91,4.7
941,44,19,0.5,3.0999999999999996
942,48,15,0.55,3.5
943,33,2,0.94,4.8
944,35,8,0.76,4.2
945,31,9,0.73,4.1
946,42,17,0.5,3.3
947,31,4,0.88,4.6
948,42,6,0.82,4.4
949,44,3,0.91,4.7
950,47,7,0.79,4.3
951,40,4,0.88,4.6
952,34,16,0.52,3.4
953,43,10,0.7,4.0
954,45,14,0.58,3.5999999999999996
955,43,3,0.91,4.7
956,38,16,0.52,3.4
957,35,1,0.97,4.9
958,38,6,0.82,4.4
959,34,13,0.61,3.7
960,40,11,0.67,3.9
961,41,17,0.5,3.3
962,46,14,0.58,3.5999999999999996
963,35,3,0.91,4.7
964,49,16,0.52,3.4
965,35,17,0.5,3.3
966,44,0,1.0,5.0
967,46,9,0.73,4.1
968,32,10,0.7,4.0
969,48,15,0.55,3.5
970,31,7,0.79,4.3
971,38,5,0.85,4.5
972,38,8,0.76,4.2
